,age,location,family_size,studytime,attendance,english,math,science,social_science,art_culture,total_score,average_score,stu_group
0,16,2,6,8,95,95,98,92,94,98,477,95.4,2
1,18,1,6,4,92,65,71,40,78,80,334,66.8,1
2,15,1,4,5,81,64,78,58,86,74,360,72.0,1
3,16,1,6,7,90,84,90,85,86,88,433,86.6,2
4,17,2,5,4,75,54,70,45,79,76,324,64.8,1
5,15,2,5,4,65,56,48,78,88,88,358,71.6,2
6,16,0,6,6,72,78,60,70,84,86,378,75.6,1
7,16,2,6,6,90,70,71,78,88,89,396,79.2,2
8,16,2,5,5,68,80,86,88,86,99,439,87.8,2
9,17,0,4,6,50,60,77,60,71,87,355,71.0,1
10,15,2,3,10,50,70,60,70,71,77,348,69.6,0
11,15,0,4,8,82,70,80,70,71,86,377,75.4,2
12,17,0,2,8,90,86,80,88,88,85,427,85.4,2
13,15,2,6,8,95,87,85,96,80,92,440,88.0,2
14,15,2,4,5,67,75,80,66,86,72,379,75.8,0
15,17,0,4,6,85,60,80,85,65,86,376,75.2,2
16,16,2,5,7,77,55,65,53,63,86,322,64.4,1
17,16,1,6,8,90,80,73,95,96,95,439,87.8,2
18,18,1,7,5,85,67,69,73,86,93,388,77.6,1
19,16,2,9,7,76,63,69,85,66,77,360,72.0,1
20,16,1,7,3,84,65,82,82,67,86,382,76.4,1
21,17,2,10,5,77,73,69,83,85,95,405,81.0,1
22,17,2,6,6,55,70,71,60,50,85,336,67.2,0
23,16,2,9,7,89,63,69,85,66,92,375,75.0,2
24,17,2,4,4,84,82,90,75,86,75,408,81.6,1
25,15,0,4,7,90,75,90,85,80,92,422,84.4,2
26,17,2,5,3,67,80,70,72,80,85,387,77.4,0
27,18,1,6,6,90,70,80,70,86,86,392,78.4,2
28,15,0,4,6,65,70,80,70,71,86,377,75.4,1
29,15,2,6,5,90,70,71,80,71,65,357,71.4,2
30,17,1,4,4,60,92,80,55,88,84,399,79.8,0
31,15,2,5,5,85,74,70,85,88,74,391,78.2,2
32,17,1,6,5,52,74,65,45,54,85,323,64.6,0
33,16,2,6,8,87,85,72,81,84,86,408,81.6,1
34,15,2,6,6,65,65,60,62,68,63,318,63.6,2
35,16,0,5,4,61,70,71,83,62,69,355,71.0,1
36,16,2,5,6,82,75,80,70,68,71,364,72.8,2
37,16,0,6,7,90,90,85,79,89,75,418,83.6,2
38,17,0,5,8,84,98,85,83,79,80,425,85.0,2
39,18,0,6,7,89,78,71,73,74,80,376,75.2,2
40,17,2,4,8,89,82,92,89,81,85,429,85.8,2
41,15,2,3,7,85,75,86,82,92,87,422,84.4,2
42,17,0,4,8,77,67,71,65,72,71,346,69.2,2
